,debt_to_income,loan_to_land,payment_history,savings_ratio,credit_utilization,prior_default,annual_income_log,drought_risk,soil_moisture,ndvi_current,ndvi_anomaly,rainfall_deviation,temperature_stress,flood_risk,climate_debt_stress,farmer_age,education_level,family_size,land_size_log,irrigation_access,insurance_coverage,crop_diversification,soil_health,market_distance_log,price_volatility,price_trend,repo_rate,wpi_inflation
ndvi_anomaly,-0.11040864149076002,0.11333716864589326,0.05746361790963366,0.02856831723075331,-0.07899428763132593,0.004019153498728659,0.09375191090357024,-0.6443930667115982,0.642517301097716,0.7635290045160782,1.0,0.1959812025714308,-0.3849480246427631,0.06107879882154373,-0.6195141741560597,0.02046425510790477,0.009468020788885657,-0.008381305881844233,-0.11255651064932048,0.6235042840445385,0.08110035609345023,-0.02169057258942357,0.45534874436080774,0.02151245530412839,-0.13081062499308826,0.14701974770038875,-0.05813685050995079,-0.04815288440863882
rainfall_deviation,-0.05034310822387633,0.028296470551205957,0.027234787673500634,-0.008556712564602439,-0.03416659583484404,-0.014757856191265383,0.021365231837476673,-0.3009997077932031,0.2673645761885418,0.18865630898016894,0.1959812025714308,1.0,-0.19519735443566424,0.30721498460121577,-0.26622359666052414,0.003005169094564429,-0.0069702143136186065,-0.01147187834111175,-0.05610013013910396,0.16071863313745408,0.02595083758878262,-0.006908853348924585,0.1476939940204022,0.011411754404453429,-0.06667090280867558,0.08250054877140439,-0.036454431827816526,-0.04029137623752285
temperature_stress,0.12083935360594356,-0.043519743804030946,-0.08128640208586374,-0.0180042265598632,0.08184787019040506,0.016046792653297847,-0.040574160380987066,0.6081774131293559,-0.5467400746146417,-0.36865549968791667,-0.3849480246427631,-0.19519735443566424,1.0,-0.05332815997389904,0.5386692831432821,-0.00885707370783348,0.0019153480034163149,0.016155421346616575,0.11229356593075428,-0.3519856276590341,-0.04475902034530279,0.014121893992052366,-0.2731787077816077,-0.016496273938073007,0.11424739892079656,-0.1309747419291715,0.08283837277291392,0.0695866961660995
flood_risk,-0.004223090948798296,0.017622667915979186,0.000858208615228764,-0.002247275346854055,-0.00866109202084704,-0.008361151654008256,0.010257361853890248,-0.10483287148639062,0.09380204692310397,0.05910440042350626,0.06107879882154373,0.30721498460121577,-0.05332815997389904,1.0,-0.09042906348939052,0.007065522138141745,-0.007915309019499535,-0.030261402655639178,-0.015899881842185652,0.0631571649110652,-0.0067991345350567655,-0.007046877508710123,0.05105361273920438,-0.00725267807664038,-0.030261836029645852,0.024548785684499867,0.012391932662373949,0.012824852708200824
climate_debt_stress,0.5640834366584127,0.24810975350377373,-0.2840782182278556,-0.09090263986350798,0.42618787457761736,0.03925059985259024,-0.05274048856089351,0.8813605988978758,-0.7924222530570906,-0.5726645243756422,-0.6195141741560597,-0.26622359666052414,0.5386692831432821,-0.09042906348939052,1.0,-0.01776512925625834,-0.011234340626229829,0.01897091885596416,0.15396131823088924,-0.5209527257185357,-0.06629292987605952,0.02868489045330635,-0.42014160808774303,-0.011201086174285165,0.15971468260265245,-0.1899700461230427,0.11443199363385392,0.0934420271264612
farmer_age,-0.010783453925312932,-0.0010417749106369648,-0.005812946099422272,-0.014665657675990613,-0.014194656615054396,0.007247308600217239,-0.003298002540816688,-0.014466669039174042,0.00993168779358671,0.014009384436819804,0.02046425510790477,0.003005169094564429,-0.00885707370783348,0.007065522138141745,-0.01776512925625834,1.0,-0.009243598368998018,-0.0034678668858450323,-0.013749078742086944,0.016674880325691675,-0.002980841622992246,0.007062015272871432,0.00827748777937184,0.015023651169952967,-0.002436605334698067,0.010519875108578446,-0.0075835440340101526,0.002651241586152828
education_level,-0.006823609932533762,-0.002172026835018088,-0.008844710729629056,-0.00852599170456841,0.003194095198637554,0.00015156666308298748,-0.008497273952117237,-0.007510538137935792,0.004052915081794869,0.0021313588577832362,0.009468020788885657,-0.0069702143136186065,0.0019153480034163149,-0.007915309019499535,-0.011234340626229829,-0.009243598368998018,1.0,-0.005555377652042093,-0.0067741195063933295,0.011631685601470227,0.17723277742577642,0.0028738973803636826,0.008504520541709703,-0.07561825946915253,0.00743816770043201,-0.017977832644159274,0.0024699894339337723,-0.0010187768573406489
family_size,0.015275129648589047,0.013105968171872043,-0.0031778616553517166,0.011302019402893137,0.006725242084342947,0.013688969013320298,0.0043069891555568745,0.0122259362513713,-0.01570468579077298,-0.012782556916877826,-0.008381305881844233,-0.01147187834111175,0.016155421346616575,-0.030261402655639178,0.01897091885596416,-0.0034678668858450323,-0.005555377652042093,1.0,0.0035294667668337555,-0.001967374358064683,-0.012400812097723143,-0.0033613804187403577,-0.012229812780292539,-0.007782628390796559,0.0001369567173817263,-0.010639655078861042,0.0013406008953737404,0.015248895560055696
land_size_log,0.03962412563475196,0.008372019529250305,-0.022766445859527227,-0.008340450213130337,0.0344704694820977,-0.0043449510027480515,0.7946019480535407,0.1793835850241925,-0.15312028949704806,-0.10809905824373528,-0.11255651064932048,-0.05610013013910396,0.11229356593075428,-0.015899881842185652,0.15396131823088924,-0.013749078742086944,-0.0067741195063933295,0.0035294667668337555,1.0,-0.0765480525356862,-0.015426955436717111,0.12598831338558275,-0.0683501652645693,-0.02169899748679182,0.03659221781032272,-0.06101193766851277,-0.001390518654539354,-0.00765819391653428
irrigation_access,-0.09795773775261656,0.20326718456029227,0.04485141911629008,0.011619431821771492,-0.06200555571496229,0.005832822847134128,0.20229256188137507,-0.5670658859843641,0.688536739587428,0.5550060155889733,0.6235042840445385,0.16071863313745408,-0.3519856276590341,0.0631571649110652,-0.5209527257185357,0.016674880325691675,0.011631685601470227,-0.001967374358064683,-0.0765480525356862,1.0,0.1184665814329926,-0.01326430452578639,0.6779718631651005,0.0022883850899904318,-0.09800289894254183,0.13374004384088503,-0.011660588959478612,-0.0032947866561436694
insurance_coverage,-0.009509874011387266,0.02809908771983022,0.021560016781373134,0.002959140710512856,-0.0060028087555946295,0.005021922170455726,0.017599257923971663,-0.06993326913171315,0.07753000443571499,0.0666912293235238,0.08110035609345023,0.02595083758878262,-0.04475902034530279,-0.0067991345350567655,-0.06629292987605952,-0.002980841622992246,0.17723277742577642,-0.012400812097723143,-0.015426955436717111,0.1184665814329926,1.0,-0.007232705363613598,0.0836730064659102,-0.01946703739426558,-0.031262050906862585,0.0013699558503338814,0.003587804027251565,0.014093817319317093
crop_diversification,0.007092906673492907,-0.0022884231451852466,-0.005563322102778653,-0.004877782744862978,0.020708795097329324,-0.0010623689003419114,0.09647099697933706,0.03258308812919954,-0.023284918003940756,-0.021887357920627952,-0.02169057258942357,-0.006908853348924585,0.014121893992052366,-0.007046877508710123,0.02868489045330635,0.007062015272871432,0.0028738973803636826,-0.0033613804187403577,0.12598831338558275,-0.01326430452578639,-0.007232705363613598,1.0,-0.015220453949727297,0.003113594182557032,0.0008132656301806892,-0.00929599216895972,-0.008168702963764938,-0.01132590713817025
soil_health,-0.08318688423580782,0.1334659886141201,0.035865403343680866,0.018747226295733308,-0.059453519296180736,-0.016339103440903755,0.13221154425695392,-0.45875298295367134,0.5512334055424054,0.413272416404128,0.45534874436080774,0.1476939940204022,-0.2731787077816077,0.05105361273920438,-0.42014160808774303,0.00827748777937184,0.008504520541709703,-0.012229812780292539,-0.0683501652645693,0.6779718631651005,0.0836730064659102,-0.015220453949727297,1.0,0.004954155491774501,-0.07421971863888042,0.10867510447835906,-0.018412983046363365,-0.013007190612110472
market_distance_log,0.00017973569817984606,-0.009984872854602424,-0.0077820933468938204,-0.010757559949239229,0.0037189624187845384,-0.0037061516682886466,-0.027693122872174115,-0.016692403859839732,0.013538899153459905,0.02395393941339019,0.02151245530412839,0.011411754404453429,-0.016496273938073007,-0.00725267807664038,-0.011201086174285165,0.015023651169952967,-0.07561825946915253,-0.007782628390796559,-0.02169899748679182,0.0022883850899904318,-0.01946703739426558,0.003113594182557032,0.004954155491774501,1.0,0.007824086916448415,-0.004806887256400539,-0.0019838409925859632,0.02054735228873198
price_volatility,0.007962717689530231,-0.03574906646093433,-0.12263213099481927,0.01422834070662797,0.002086358927098728,0.016220975432028214,-0.01074952103881633,0.1930904251509292,-0.16884232248143027,-0.11890585591254499,-0.13081062499308826,-0.06667090280867558,0.11424739892079656,-0.030261836029645852,0.15971468260265245,-0.002436605334698067,0.00743816770043201,0.0001369567173817263,0.03659221781032272,-0.09800289894254183,-0.031262050906862585,0.0008132656301806892,-0.07421971863888042,0.007824086916448415,1.0,-0.04638791859577282,0.007951915650295405,0.007316921062040256
price_trend,-0.04770377148783844,0.017000061921975576,0.023685545146474064,0.025135311597008148,-0.030232181424951245,-0.0030381519508935065,0.0021966293608231225,-0.2105295129481222,0.19215823591881595,0.14138636714749042,0.14701974770038875,0.08250054877140439,-0.1309747419291715,0.024548785684499867,-0.1899700461230427,0.010519875108578446,-0.017977832644159274,-0.010639655078861042,-0.06101193766851277,0.13374004384088503,0.0013699558503338814,-0.00929599216895972,0.10867510447835906,-0.004806887256400539,-0.04638791859577282,1.0,-0.02623964617967947,-0.02022977383574
repo_rate,0.032616024064312875,0.008676359315255615,-0.013987974687290027,0.005509643206133886,0.025176416916772776,0.007254818135827601,-0.01669665088932878,0.13160157705519088,-0.09964217959096654,-0.049839711544370495,-0.05813685050995079,-0.036454431827816526,0.08283837277291392,0.012391932662373949,0.11443199363385392,-0.0075835440340101526,0.0024699894339337723,0.0013406008953737404,-0.001390518654539354,-0.011660588959478612,0.003587804027251565,-0.008168702963764938,-0.018412983046363365,-0.0019838409925859632,0.007951915650295405,-0.02623964617967947,1.0,0.7441133937205218
wpi_inflation,0.03173032097234876,0.017209128151705128,-0.014241581846174634,-0.011089663733534642,0.031016738230232616,0.011227710357550484,-0.013437701315700183,0.10256325729262536,-0.07784329323175311,-0.03772560921446264,-0.04815288440863882,-0.04029137623752285,0.0695866961660995,0.012824852708200824,0.0934420271264612,0.002651241586152828,-0.0010187768573406489,0.015248895560055696,-0.00765819391653428,-0.0032947866561436694,0.014093817319317093,-0.01132590713817025,-0.013007190612110472,0.02054735228873198,0.007316921062040256,-0.02022977383574,0.7441133937205218,1.0
