split,model,fpr,tpr
Random test,Random forest,0.05060584461867427,0.12690355329949238
Random test,Random forest,0.05060584461867427,0.1319796954314721
Random test,Random forest,0.05131860299358518,0.1319796954314721
Random test,Random forest,0.05131860299358518,0.13705583756345177
Random test,Random forest,0.0541696364932288,0.13705583756345177
Random test,Random forest,0.0541696364932288,0.14213197969543148
Random test,Random forest,0.06129722024233785,0.14213197969543148
Random test,Random forest,0.06129722024233785,0.14720812182741116
Random test,Random forest,0.06343549536707056,0.14720812182741116
Random test,Random forest,0.06343549536707056,0.15228426395939088
Random test,Random forest,0.06414825374198146,0.15228426395939088
Random test,Random forest,0.06414825374198146,0.15736040609137056
Random test,Random forest,0.06771204561653599,0.15736040609137056
Random test,Random forest,0.06771204561653599,0.16751269035532995
Random test,Random forest,0.0698503207412687,0.16751269035532995
Random test,Random forest,0.0698503207412687,0.17258883248730963
Random test,Random forest,0.07056307911617961,0.17258883248730963
Random test,Random forest,0.07056307911617961,0.17766497461928935
Random test,Random forest,0.07127583749109052,0.17766497461928935
Random test,Random forest,0.07127583749109052,0.18274111675126903
Random test,Random forest,0.07412687099073414,0.18274111675126903
Random test,Random forest,0.07412687099073414,0.18781725888324874
Random test,Random forest,0.07982893799002139,0.18781725888324874
Random test,Random forest,0.07982893799002139,0.19289340101522842
Random test,Random forest,0.08267997148966501,0.19289340101522842
Random test,Random forest,0.08267997148966501,0.20304568527918782
Random test,Random forest,0.08481824661439771,0.20304568527918782
Random test,Random forest,0.08481824661439771,0.20812182741116753
Random test,Random forest,0.08838203848895225,0.20812182741116753
Random test,Random forest,0.08838203848895225,0.2131979695431472
Random test,Random forest,0.09693513898788311,0.2131979695431472
Random test,Random forest,0.09693513898788311,0.2233502538071066
Random test,Random forest,0.09764789736279401,0.2233502538071066
Random test,Random forest,0.09764789736279401,0.22842639593908629
Random test,Random forest,0.10192444761225944,0.22842639593908629
Random test,Random forest,0.10192444761225944,0.233502538071066
Random test,Random forest,0.10263720598717035,0.233502538071066
Random test,Random forest,0.10263720598717035,0.23857868020304568
Random test,Random forest,0.11404133998574484,0.23857868020304568
Random test,Random forest,0.11404133998574484,0.24873096446700507
Random test,Random forest,0.11831789023521026,0.24873096446700507
Random test,Random forest,0.11831789023521026,0.25380710659898476
Random test,Random forest,0.11974340698503208,0.25380710659898476
Random test,Random forest,0.11974340698503208,0.25888324873096447
Random test,Random forest,0.12188168210976479,0.25888324873096447
Random test,Random forest,0.12188168210976479,0.26903553299492383
Random test,Random forest,0.12687099073414113,0.26903553299492383
Random test,Random forest,0.12687099073414113,0.27411167512690354
Random test,Random forest,0.13114754098360656,0.27411167512690354
Random test,Random forest,0.13114754098360656,0.27918781725888325
Random test,Random forest,0.1368496079828938,0.27918781725888325
Random test,Random forest,0.1368496079828938,0.28426395939086296
Random test,Random forest,0.14540270848182466,0.28426395939086296
Random test,Random forest,0.14540270848182466,0.2893401015228426
Random test,Random forest,0.14754098360655737,0.2893401015228426
Random test,Random forest,0.14754098360655737,0.30456852791878175
Random test,Random forest,0.150392017106201,0.30456852791878175
Random test,Random forest,0.150392017106201,0.3147208121827411
Random test,Random forest,0.1617961511047755,0.3147208121827411
Random test,Random forest,0.1617961511047755,0.3248730964467005
Random test,Random forest,0.1646471846044191,0.3248730964467005
Random test,Random forest,0.1646471846044191,0.3299492385786802
Random test,Random forest,0.16535994297933002,0.3299492385786802
Random test,Random forest,0.16535994297933002,0.3350253807106599
Random test,Random forest,0.17462580185317178,0.3350253807106599
Random test,Random forest,0.17462580185317178,0.3401015228426396
Random test,Random forest,0.18246614397719174,0.3401015228426396
Random test,Random forest,0.18246614397719174,0.34517766497461927
Random test,Random forest,0.18317890235210263,0.34517766497461927
Random test,Random forest,0.18317890235210263,0.350253807106599
Random test,Random forest,0.18389166072701355,0.350253807106599
Random test,Random forest,0.18389166072701355,0.36548223350253806
Random test,Random forest,0.18602993585174626,0.36548223350253806
Random test,Random forest,0.18602993585174626,0.37055837563451777
Random test,Random forest,0.18816821097647898,0.37055837563451777
Random test,Random forest,0.18816821097647898,0.3756345177664975
Random test,Random forest,0.1895937277263008,0.3756345177664975
Random test,Random forest,0.1895937277263008,0.38071065989847713
Random test,Random forest,0.20883820384889523,0.38071065989847713
Random test,Random forest,0.20883820384889523,0.38578680203045684
Random test,Random forest,0.21596578759800428,0.38578680203045684
Random test,Random forest,0.21596578759800428,0.39086294416243655
Random test,Random forest,0.21739130434782608,0.39086294416243655
Random test,Random forest,0.21739130434782608,0.4010152284263959
Random test,Random forest,0.218104062722737,0.4010152284263959
Random test,Random forest,0.218104062722737,0.40609137055837563
Random test,Random forest,0.22309337134711332,0.40609137055837563
Random test,Random forest,0.22309337134711332,0.41116751269035534
Random test,Random forest,0.22380612972202424,0.41116751269035534
Random test,Random forest,0.22380612972202424,0.41624365482233505
Random test,Random forest,0.22451888809693513,0.41624365482233505
Random test,Random forest,0.22451888809693513,0.4213197969543147
Random test,Random forest,0.23806129722024233,0.4213197969543147
Random test,Random forest,0.23806129722024233,0.43147208121827413
Random test,Random forest,0.24019957234497505,0.43147208121827413
Random test,Random forest,0.24019957234497505,0.4365482233502538
Random test,Random forest,0.2451888809693514,0.4365482233502538
Random test,Random forest,0.2451888809693514,0.4416243654822335
Random test,Random forest,0.25017818959372773,0.4416243654822335
Random test,Random forest,0.25017818959372773,0.4467005076142132
Random test,Random forest,0.25160370634354956,0.4467005076142132
Random test,Random forest,0.25160370634354956,0.4517766497461929
Random test,Random forest,0.25588025659301494,0.4517766497461929
Random test,Random forest,0.25588025659301494,0.45685279187817257
Random test,Random forest,0.26514611546685674,0.45685279187817257
Random test,Random forest,0.26514611546685674,0.4619289340101523
Random test,Random forest,0.26657163221667857,0.4619289340101523
Random test,Random forest,0.26657163221667857,0.467005076142132
Random test,Random forest,0.2751247327156094,0.467005076142132
Random test,Random forest,0.2751247327156094,0.4720812182741117
Random test,Random forest,0.2758374910905203,0.4720812182741117
Random test,Random forest,0.2758374910905203,0.47715736040609136
Random test,Random forest,0.28082679971489666,0.47715736040609136
Random test,Random forest,0.28082679971489666,0.48223350253807107
Random test,Random forest,0.28296507483962935,0.48223350253807107
Random test,Random forest,0.28296507483962935,0.49238578680203043
Random test,Random forest,0.2915181753385602,0.49238578680203043
Random test,Random forest,0.2915181753385602,0.49746192893401014
Random test,Random forest,0.29436920883820383,0.49746192893401014
Random test,Random forest,0.29436920883820383,0.5025380710659898
Random test,Random forest,0.29579472558802566,0.5025380710659898
Random test,Random forest,0.29579472558802566,0.5076142131979695
Random test,Random forest,0.3000712758374911,0.5076142131979695
Random test,Random forest,0.3000712758374911,0.5126903553299492
Random test,Random forest,0.3050605844618674,0.5126903553299492
Random test,Random forest,0.3050605844618674,0.5177664974619289
Random test,Random forest,0.308624376336422,0.5177664974619289
Random test,Random forest,0.308624376336422,0.5279187817258884
Random test,Random forest,0.3121881682109765,0.5279187817258884
